namespace,namespace_label,country_code,country_name,region_level,regions,rows,year_min,year_max,latest_li_year,li_rows,ili_rows,hli_rows,ihli_rows,source_bundle,method_flag,quality_flag
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,9,225,2000,2024,2023,216,9,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total+statistik_tirol_silc_2022_equiv_income_gini_html,observed_inputs_only+observed_html_table_eusilc_2022_gini_exact_nuts2_join,observed_eurostat_li_no_subnational_gini_hale+official_regional_silc_2022_after_social_transfers
eu_nuts2_bel_v1,Belgium / EU NUTS2 pilot,BEL,Belgium,nuts2,11,275,2000,2024,2024,242,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
eu_nuts2_bgr_v1,Bulgaria / EU NUTS2 pilot,BGR,Bulgaria,nuts2,6,150,2000,2024,2024,150,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
canada_oecd_tl2_statcan,Canada / OECD TL2 + StatCan pilot,CAN,Canada,oecd_tl2,13,386,1995,2024,2022,346,279,0,0,oecd_tl2_gdppc_ppp+oecd_tl2_lfexp+statcan_after_tax_gini,observed_inputs_only,observed_no_subnational_hale_partial_gini
china_oecd_regional_v1,China / OECD regional pilot,CHN,China,oecd_tl2,31,1085,1990,2024,2023,775,0,0,0,oecd_regional_gdp+gdl_subnational_lifexp,observed_inputs_only,observed_no_subnational_gini_hale
china_province_v1,China province pilot,CHN,China,province,31,1085,1990,2024,2023,928,0,0,0,nbs_province_gdppc+gdl_subnational_lifexp,observed_inputs_only,observed_no_subnational_gini_hale
eu_nuts2_cyp_v1,Cyprus / EU NUTS2 pilot,CYP,Cyprus,nuts2,1,25,2000,2024,2024,25,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
eu_nuts2_cze_v1,Czechia / EU NUTS2 pilot,CZE,Czechia,nuts2,8,200,2000,2024,2024,200,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
eu_nuts2_deu_v1,Germany / EU NUTS2 pilot,DEU,Germany,nuts2,38,950,2000,2024,2024,855,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
germany_oecd_tl2,Germany / OECD TL2 pilot,DEU,Germany,oecd_tl2,16,480,1995,2024,2023,352,0,0,0,oecd_tl2_gdppc_ppp+oecd_tl2_lfexp,observed_inputs_only,observed_no_subnational_gini_hale
eu_nuts2_dnk_v1,Denmark / EU NUTS2 pilot,DNK,Denmark,nuts2,5,125,2000,2024,2024,90,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
eu_nuts2_esp_v1,Spain / EU NUTS2 pilot,ESP,Spain,nuts2,19,475,2000,2024,2024,474,323,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total+ine_es_67246_standard_gini_csv,observed_inputs_only+observed_csv_standard_gini_exact_nuts2_join,observed_eurostat_li_no_subnational_gini_hale+official_ine_standard_gini
eu_nuts2_est_v1,Estonia / EU NUTS2 pilot,EST,Estonia,nuts2,1,25,2000,2024,2024,25,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
eu_nuts2_fin_v1,Finland / EU NUTS2 pilot,FIN,Finland,nuts2,5,125,2000,2024,2024,125,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
eu_nuts2_fra_v1,France / EU NUTS2 pilot,FRA,France,nuts2,27,661,2000,2024,2024,628,24,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total+insee_filosofi_2021_disp_reg_gini_csv_zip,observed_inputs_only+observed_region_gini_exact_one_to_one_nuts2_join+observed_admin_region_gini_fanned_out_to_component_nuts2,observed_eurostat_li_no_subnational_gini_hale+official_insee_2021_exact_geography+official_insee_2021_aggregate_region_proxy
eu_nuts2_grc_v1,Greece / EU NUTS2 pilot,GRC,Greece,nuts2,13,325,2000,2024,2023,312,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
eu_nuts2_hrv_v1,Croatia / EU NUTS2 pilot,HRV,Croatia,nuts2,5,119,2000,2024,2024,39,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
eu_nuts2_hun_v1,Hungary / EU NUTS2 pilot,HUN,Hungary,nuts2,8,200,2000,2024,2024,196,0,0,0,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale
india_oecd_regional_v1,India / OECD regional pilot,IND,India,oecd_tl2,36,1224,1990,2023,2020,577,0,526,0,oecd_regional_gdp+gdl_subnational_lifexp+ihme_gbd_2023_subnational_hale_modelled,observed_inputs_only+modelled_ihme_gbd_hale_age22_all_ages_exact_location_join,observed_no_subnational_gini_hale+ihme_modelled_hale_age_id_22_all_ages_metric_years_exact_location
