namespace,namespace_label,country_code,country_name,region_type,region_code,region_name,year,gdppc,lexp,hale,gini_raw,gini_01,LI,ILI,HLI,IHLI,missing_gdppc,missing_lexp,missing_hale,missing_gini,source_bundle,method_flag,quality_flag,track
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,AT11,Burgenland,2000,16200.0,78.0,,,,1263600.0,,,,0,0,1,1,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,subnational_pilot
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,AT11,Burgenland,2001,16300.0,78.6,,,,1281180.0,,,,0,0,1,1,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,subnational_pilot
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,AT11,Burgenland,2002,17200.0,78.6,,,,1351920.0,,,,0,0,1,1,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,subnational_pilot
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,AT11,Burgenland,2003,17600.0,78.5,,,,1381600.0,,,,0,0,1,1,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,subnational_pilot
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,AT11,Burgenland,2004,18600.0,79.2,,,,1473120.0,,,,0,0,1,1,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,subnational_pilot
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,AT11,Burgenland,2005,18600.0,79.1,,,,1471260.0,,,,0,0,1,1,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,subnational_pilot
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,AT11,Burgenland,2006,19300.0,79.5,,,,1534350.0,,,,0,0,1,1,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,subnational_pilot
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,AT11,Burgenland,2007,20200.0,79.7,,,,1609940.0,,,,0,0,1,1,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,subnational_pilot
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,AT11,Burgenland,2008,20100.0,80.0,,,,1608000.0,,,,0,0,1,1,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,subnational_pilot
eu_nuts2_aut_v1,Austria / EU NUTS2 pilot,AUT,Austria,nuts2,AT11,Burgenland,2009,20100.0,80.9,,,,1626090.0,,,,0,0,1,1,eurostat_nuts2_gdppc_pps_eu27_2020_hab+eurostat_nuts2_lexp_birth_total,observed_inputs_only,observed_eurostat_li_no_subnational_gini_hale,subnational_pilot
