track,year,indicator,countries_in_scope,countries_computable,coverage_pct
extended_experimental,1990,HLI,217,0,0.0
extended_experimental,1990,IHLI,217,0,0.0
extended_experimental,1990,ILI,217,109,50.23
extended_experimental,1990,LI,217,185,85.25
extended_experimental,1991,HLI,217,0,0.0
extended_experimental,1991,IHLI,217,0,0.0
extended_experimental,1991,ILI,217,109,50.23
extended_experimental,1991,LI,217,186,85.71
extended_experimental,1992,HLI,217,0,0.0
extended_experimental,1992,IHLI,217,0,0.0
extended_experimental,1992,ILI,217,118,54.38
extended_experimental,1992,LI,217,186,85.71
extended_experimental,1993,HLI,217,0,0.0
extended_experimental,1993,IHLI,217,0,0.0
extended_experimental,1993,ILI,217,121,55.76
extended_experimental,1993,LI,217,186,85.71
extended_experimental,1994,HLI,217,0,0.0
extended_experimental,1994,IHLI,217,0,0.0
extended_experimental,1994,ILI,217,128,58.99
extended_experimental,1994,LI,217,187,86.18
extended_experimental,1995,HLI,217,0,0.0
extended_experimental,1995,IHLI,217,0,0.0
extended_experimental,1995,ILI,217,133,61.29
extended_experimental,1995,LI,217,188,86.64
extended_experimental,1996,HLI,217,0,0.0
extended_experimental,1996,IHLI,217,0,0.0
extended_experimental,1996,ILI,217,139,64.06
extended_experimental,1996,LI,217,188,86.64
extended_experimental,1997,HLI,217,0,0.0
extended_experimental,1997,IHLI,217,0,0.0
extended_experimental,1997,ILI,217,141,64.98
extended_experimental,1997,LI,217,190,87.56
extended_experimental,1998,HLI,217,0,0.0
extended_experimental,1998,IHLI,217,0,0.0
extended_experimental,1998,ILI,217,143,65.9
extended_experimental,1998,LI,217,190,87.56
extended_experimental,1999,HLI,217,0,0.0
extended_experimental,1999,IHLI,217,0,0.0
extended_experimental,1999,ILI,217,146,67.28
extended_experimental,1999,LI,217,190,87.56
extended_experimental,2000,HLI,217,178,82.03
extended_experimental,2000,IHLI,217,147,67.74
extended_experimental,2000,ILI,217,150,69.12
extended_experimental,2000,LI,217,192,88.48
extended_experimental,2001,HLI,217,178,82.03
extended_experimental,2001,IHLI,217,149,68.66
extended_experimental,2001,ILI,217,153,70.51
extended_experimental,2001,LI,217,192,88.48
extended_experimental,2002,HLI,217,178,82.03
extended_experimental,2002,IHLI,217,153,70.51
extended_experimental,2002,ILI,217,159,73.27
extended_experimental,2002,LI,217,193,88.94
extended_experimental,2003,HLI,217,178,82.03
extended_experimental,2003,IHLI,217,155,71.43
extended_experimental,2003,ILI,217,161,74.19
extended_experimental,2003,LI,217,193,88.94
extended_experimental,2004,HLI,217,178,82.03
extended_experimental,2004,IHLI,217,159,73.27
extended_experimental,2004,ILI,217,165,76.04
extended_experimental,2004,LI,217,193,88.94
extended_experimental,2005,HLI,217,178,82.03
extended_experimental,2005,IHLI,217,166,76.5
extended_experimental,2005,ILI,217,172,79.26
extended_experimental,2005,LI,217,193,88.94
extended_experimental,2006,HLI,217,178,82.03
extended_experimental,2006,IHLI,217,167,76.96
extended_experimental,2006,ILI,217,176,81.11
extended_experimental,2006,LI,217,194,89.4
extended_experimental,2007,HLI,217,178,82.03
extended_experimental,2007,IHLI,217,170,78.34
extended_experimental,2007,ILI,217,179,82.49
extended_experimental,2007,LI,217,195,89.86
extended_experimental,2008,HLI,217,178,82.03
extended_experimental,2008,IHLI,217,169,77.88
extended_experimental,2008,ILI,217,179,82.49
extended_experimental,2008,LI,217,197,90.78
extended_experimental,2009,HLI,217,178,82.03
extended_experimental,2009,IHLI,217,166,76.5
extended_experimental,2009,ILI,217,176,81.11
extended_experimental,2009,LI,217,198,91.24
extended_experimental,2010,HLI,217,178,82.03
extended_experimental,2010,IHLI,217,167,76.96
extended_experimental,2010,ILI,217,176,81.11
extended_experimental,2010,LI,217,198,91.24
extended_experimental,2011,HLI,217,178,82.03
extended_experimental,2011,IHLI,217,167,76.96
extended_experimental,2011,ILI,217,174,80.18
extended_experimental,2011,LI,217,198,91.24
extended_experimental,2012,HLI,217,178,82.03
extended_experimental,2012,IHLI,217,166,76.5
extended_experimental,2012,ILI,217,173,79.72
extended_experimental,2012,LI,217,198,91.24
extended_experimental,2013,HLI,217,179,82.49
extended_experimental,2013,IHLI,217,164,75.58
extended_experimental,2013,ILI,217,171,78.8
extended_experimental,2013,LI,217,199,91.71
extended_experimental,2014,HLI,217,179,82.49
extended_experimental,2014,IHLI,217,162,74.65
extended_experimental,2014,ILI,217,168,77.42
extended_experimental,2014,LI,217,199,91.71
extended_experimental,2015,HLI,217,179,82.49
extended_experimental,2015,IHLI,217,157,72.35
extended_experimental,2015,ILI,217,162,74.65
extended_experimental,2015,LI,217,199,91.71
extended_experimental,2016,HLI,217,179,82.49
extended_experimental,2016,IHLI,217,155,71.43
extended_experimental,2016,ILI,217,160,73.73
extended_experimental,2016,LI,217,199,91.71
extended_experimental,2017,HLI,217,179,82.49
extended_experimental,2017,IHLI,217,149,68.66
extended_experimental,2017,ILI,217,153,70.51
extended_experimental,2017,LI,217,199,91.71
extended_experimental,2018,HLI,217,179,82.49
extended_experimental,2018,IHLI,217,138,63.59
extended_experimental,2018,ILI,217,142,65.44
extended_experimental,2018,LI,217,199,91.71
extended_experimental,2019,HLI,217,179,82.49
extended_experimental,2019,IHLI,217,131,60.37
extended_experimental,2019,ILI,217,135,62.21
extended_experimental,2019,LI,217,199,91.71
extended_experimental,2020,HLI,217,179,82.49
extended_experimental,2020,IHLI,217,121,55.76
extended_experimental,2020,ILI,217,125,57.6
extended_experimental,2020,LI,217,199,91.71
extended_experimental,2021,HLI,217,179,82.49
extended_experimental,2021,IHLI,217,110,50.69
extended_experimental,2021,ILI,217,113,52.07
extended_experimental,2021,LI,217,199,91.71
extended_experimental,2022,HLI,217,0,0.0
extended_experimental,2022,IHLI,217,0,0.0
extended_experimental,2022,ILI,217,102,47.0
extended_experimental,2022,LI,217,199,91.71
extended_experimental,2023,HLI,217,0,0.0
extended_experimental,2023,IHLI,217,0,0.0
extended_experimental,2023,ILI,217,73,33.64
