namespace,track,namespace_label,country_code,country_name,region_level,regions,rows,year_min,year_max,latest_li_year,li_rows,ili_rows,hli_rows,ihli_rows,source_bundle,method_flag,quality_flag,evidence_tier,input_method,source_evidence_badges,limitation_note,latest_ili_year,latest_hli_year,latest_ihli_year
gdl_shdi_afg_levelx_v3,modelled_hale_experimental,Afghanistan / GDL SHDI level x,AFG,Afghanistan,gdl_level_x,8,272,1990,2023,2023.0,272,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_afg_levelx_v3,official_clean,Afghanistan / GDL SHDI level x,AFG,Afghanistan,gdl_level_x,8,272,1990,2023,2023.0,272,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_alb_levelx_v3,modelled_hale_experimental,Albania / GDL SHDI level x,ALB,Albania,gdl_level_x,12,408,1990,2023,2023.0,408,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_alb_levelx_v3,official_clean,Albania / GDL SHDI level x,ALB,Albania,gdl_level_x,12,408,1990,2023,2023.0,408,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_dza_levelx_v3,modelled_hale_experimental,Algeria / GDL SHDI level x,DZA,Algeria,gdl_level_x,7,238,1990,2023,2023.0,238,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_dza_levelx_v3,official_clean,Algeria / GDL SHDI level x,DZA,Algeria,gdl_level_x,7,238,1990,2023,2023.0,238,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_ago_levelx_v3,modelled_hale_experimental,Angola / GDL SHDI level x,AGO,Angola,gdl_level_x,18,450,1999,2023,2023.0,450,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
gdl_shdi_ago_levelx_v3,official_clean,Angola / GDL SHDI level x,AGO,Angola,gdl_level_x,18,450,1999,2023,2023.0,450,0,0,0,gdl_shdi_lgnic_lifexp_v9,gdl_lgnic_income_proxy_plus_gdl_lifexp,proxy_observed_gdl_income_proxy,proxy_observed,gdl_shdi_lgnic_lifexp,GDL income proxy,income is GDL lgnic rather than source-country GDPpc; life expectancy is GDL harmonized regional life expectancy,,,
arg_dnap_province_v3,extended_experimental,Argentina / DNAP provinces and CABA,ARG,Argentina,province_caba,24,312,2010,2022,2022.0,312,165,0,0,arg_dnap_province_pbgpc_lexp_gini,dnap_pbgpc_constant_2004_pesos_plus_sex_average_lexp_and_eph_family_income_gini,official_observed_local_currency_pbgpc_sex_average_lexp_total_urbano_gini,official_observed|labelled_local_currency,argentina_dnap_province_ili,official local-currency GDPpc|official LEXP sex-average|observed Gini,"PBG per capita is in constant 2004 Argentine pesos, so values are best interpreted within Argentina rather than as PPP-comparable cross-country levels; life expectancy is the arithmetic average of female and male DNAP values; Gini is EPH Total Urbano household per-capita family-income Gini",2022.0,,
arg_dnap_province_v3,modelled_hale_experimental,Argentina / DNAP provinces and CABA,ARG,Argentina,province_caba,24,312,2010,2022,2022.0,312,165,0,0,arg_dnap_province_pbgpc_lexp_gini,dnap_pbgpc_constant_2004_pesos_plus_sex_average_lexp_and_eph_family_income_gini,official_observed_local_currency_pbgpc_sex_average_lexp_total_urbano_gini,official_observed|labelled_local_currency,argentina_dnap_province_ili,official local-currency GDPpc|official LEXP sex-average|observed Gini,"PBG per capita is in constant 2004 Argentine pesos, so values are best interpreted within Argentina rather than as PPP-comparable cross-country levels; life expectancy is the arithmetic average of female and male DNAP values; Gini is EPH Total Urbano household per-capita family-income Gini",2022.0,,
