source_bundle,source_name,source_url,citation,license_note,verification_status
acs1_state_gini,US Census ACS 1-year state Gini,https://api.census.gov/data.html,ACS B19083 state Gini,Official US Census API.,tested_ready
eurostat_nuts2_gdppc_pps_eu27_2020_hab,Eurostat regional GDP per inhabitant,https://ec.europa.eu/eurostat/databrowser/view/nama_10r_2gdp/default/table,Eurostat nama_10r_2gdp,Official Eurostat regional data.,tested_ready
eurostat_nuts2_lexp_birth_total,Eurostat regional life expectancy at birth,https://ec.europa.eu/eurostat/databrowser/view/demo_r_mlifexp/default/table,Eurostat demo_r_mlifexp,Official Eurostat regional data.,tested_ready
gdl_subnational_lgnic_income_proxy,Global Data Lab subnational income proxy,https://globaldatalab.org/shdi/,Global Data Lab Subnational HDI database lgnic field,GDL log income per capita is exponentiated as an income proxy; it is not official GDPpc.,implemented_income_proxy
gdl_subnational_lifexp,Global Data Lab subnational life expectancy,https://globaldatalab.org/shdi/,Global Data Lab Subnational HDI database,GDL subnational HDI/life expectancy source files.,tested_ready
gus_poland_eusilc_2022_nuts2_gini_pdf,GUS Poland EU-SILC 2022 NUTS2 Gini,https://stat.gov.pl/download/gfx/portalinformacyjny/en/defaultaktualnosci/3305/1/15/1/incomes_and_living_conditions_of_the_population_of_poland_-_report_from_the_eu-silc_survey_of_2022.pdf,"GUS Incomes and living conditions of the population of Poland, EU-SILC 2022",Official Statistics Poland PDF table; values are transcribed from the NUTS2 Gini table.,implemented_pdf_table_transcription
ihme_gbd_2023_national_hale_modelled,IHME GBD 2023 modelled national HALE,https://vizhub.healthdata.org/gbd-results/,"Global Burden of Disease Collaborative Network. Global Burden of Disease Study 2023 (GBD 2023) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2024.","Modelled IHME/GBD HALE export, age_id 22 / All Ages, sex Both, metric Years; interpreted as HALE at birth following GBD reporting conventions and used only in the labelled modelled national HALE track.",implemented_modelled_hale_lane
ihme_gbd_2023_subnational_hale_modelled,IHME GBD 2023 modelled subnational HALE,https://vizhub.healthdata.org/gbd-results/,"Global Burden of Disease Collaborative Network. Global Burden of Disease Study 2023 (GBD 2023) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2024.","Modelled IHME/GBD HALE export, age_id 22 / All Ages, sex Both, metric Years; interpreted as HALE at birth following GBD reporting conventions, not direct observed HALE.",implemented_modelled_hale_lane
ine_es_67246_standard_gini_csv,INE Spain income distribution Gini,https://www.ine.es/jaxiT3/Tabla.htm?t=67246&L=1,INE Table 67246,Official INE Spain public CSV.,implemented
ine_pt_0009941_gini_html_table,Statistics Portugal regional Gini,https://www.ine.pt/xurl/indx/0014082/PT,Statistics Portugal local income statistics,Official Statistics Portugal table extraction.,implemented_partial
inegi_enigh_2022_state_gini_xlsx,INEGI ENIGH 2022 state Gini,https://www.inegi.org.mx/programas/enigh/nc/2022/,INEGI ENIGH 2022 tabulados por entidad federativa,Official INEGI public XLSX; merged into the Mexico state namespace only where GDL income/LEXP base rows exist.,implemented_state_gini_exact_year_join
insee_filosofi_2021_disp_reg_gini_csv_zip,INSEE FiLoSoFi 2021 regional disposable-income Gini,https://www.insee.fr/fr/statistiques/7756855,INSEE FiLoSoFi 2021 SUPRA CSV bundle,Official INSEE public CSV ZIP; aggregate-region rows are fanned out to component NUTS2 rows only with explicit proxy flags.,implemented_exact_plus_aggregate_proxy
nbs_province_gdppc,NBS China provincial GDP per capita,https://data.stats.gov.cn/,National Bureau of Statistics of China province indicators,Official NBS data portal extraction.,tested_ready
oecd_regional_gdp,OECD regional GDP,https://data-explorer.oecd.org/,OECD regional economy SDMX,OECD regional statistics.,tested_ready
oecd_tl2_gdppc_ppp,OECD TL2 regional GDP per capita,https://data-explorer.oecd.org/,OECD regional economy SDMX,OECD regional statistics.,tested_ready
oecd_tl2_lfexp,OECD TL2 regional life expectancy,https://data-explorer.oecd.org/,OECD regional health SDMX,OECD regional statistics.,tested_ready
owid_hale_at_birth,OWID WHO-derived national HALE mirror,https://ourworldindata.org/grapher/healthy-life-expectancy-at-birth,Our World in Data grapher mirror of WHO HALE,Convenience validation mirror; WHO GHO remains the primary current national HALE source.,validated_against_who
